,auctionID_lot,1,2,n,loc,cat0,cat1,low_rel_high,final_price,high_estimate,num_bids
2222,s3_07_the-now-evening-auction-5?locale=en_contemporary-evening-auction-5_124,0.476375,0.46125,2,new york,art,impressionist/20th/21st century art,0.75,3100000.0,8000000.0,3
2223,s3_07_the-now-evening-auction-5?locale=en_contemporary-evening-auction-5_126,1.6086666666666667,1.524,4,new york,art,impressionist/20th/21st century art,0.6666666666666666,190000.0,150000.0,9
2224,s3_07_the-now-evening-auction-5?locale=en_contemporary-evening-auction-5_127,0.7909666666666667,0.7845833333333333,2,new york,art,impressionist/20th/21st century art,0.6666666666666666,12100000.0,18000000.0,11
2225,s3_07_the-now-evening-auction-5?locale=en_contemporary-evening-auction-5_128,2.1166666666666667,2.032,5,new york,art,impressionist/20th/21st century art,0.6666666666666666,500000.0,300000.0,8
2226,s3_07_the-now-evening-auction-5?locale=en_contemporary-evening-auction-5_129,0.736425,0.717275,3,new york,art,impressionist/20th/21st century art,0.6666666666666666,7400000.0,12000000.0,4
2227,s3_07_the-now-evening-auction-5?locale=en_contemporary-evening-auction-5_131,1.0542857142857143,0.9851428571428571,2,new york,art,impressionist/20th/21st century art,0.7142857142857143,3000000.0,3500000.0,5
2228,s3_07_the-now-evening-auction-5?locale=en_contemporary-evening-auction-5_136,0.42333333333333334,0.4021666666666667,2,new york,art,impressionist/20th/21st century art,0.6666666666666666,1000000.0,3000000.0,3
2229,s3_07_the-now-evening-auction-5?locale=en_contemporary-evening-auction-5_138,1.5425,1.482,4,new york,art,impressionist/20th/21st century art,0.75,2500000.0,2000000.0,13
2230,s3_07_the-now-evening-auction-5?locale=en_contemporary-evening-auction-5_14,1.0885714285714285,0.8708571428571429,2,new york,art,impressionist/20th/21st century art,0.7142857142857143,600000.0,700000.0,2
2231,s3_07_the-now-evening-auction-5?locale=en_contemporary-evening-auction-5_15,1.1889272727272728,1.1680363636363635,10,new york,art,impressionist/20th/21st century art,0.6363636363636364,5400000.0,5500000.0,17
2232,s3_07_the-now-evening-auction-5?locale=en_contemporary-evening-auction-5_17,1.2617142857142858,1.227142857142857,2,new york,art,impressionist/20th/21st century art,0.7142857142857143,3600000.0,3500000.0,3
2233,s3_07_the-now-evening-auction-5?locale=en_contemporary-evening-auction-5_18,0.84,0.8063888888888889,2,new york,art,impressionist/20th/21st century art,0.6666666666666666,1200000.0,1800000.0,3
2234,s3_07_the-now-evening-auction-5?locale=en_contemporary-evening-auction-5_19,3.556,3.3866666666666667,6,new york,art,impressionist/20th/21st century art,0.6666666666666666,420000.0,150000.0,11
2235,s3_07_the-now-evening-auction-5?locale=en_contemporary-evening-auction-5_2,4.53625,3.93126815,8,new york,art,impressionist/20th/21st century art,0.75,1450000.0,400000.0,21
2236,s3_07_the-now-evening-auction-5?locale=en_contemporary-evening-auction-5_21,1.89,1.73875,3,new york,art,impressionist/20th/21st century art,0.75,1200000.0,800000.0,9
2237,s3_07_the-now-evening-auction-5?locale=en_contemporary-evening-auction-5_22,1.3229166666666667,1.27,3,new york,art,impressionist/20th/21st century art,0.6666666666666666,625000.0,600000.0,6
2238,s3_07_the-now-evening-auction-5?locale=en_contemporary-evening-auction-5_4,1.6533333333333333,1.613,5,new york,art,impressionist/20th/21st century art,0.6666666666666666,2000000.0,1500000.0,15
2239,s3_07_the-now-evening-auction-5?locale=en_contemporary-evening-auction-5_6,2.143125,2.06375,9,new york,art,impressionist/20th/21st century art,0.75,675000.0,400000.0,14
2240,s3_08_old-masters-evening-sale_1,13.2334,1.397,2,london,art,old masters,0.7,1054000.0,100000.0,7
2241,s3_08_old-masters-evening-sale_14,0.9313333333333333,0.9313333333333333,3,london,art,old masters,0.6666666666666666,110000.0,150000.0,4
2242,s3_08_old-masters-evening-sale_17,33.654333333333334,3.8946666666666667,4,london,art,old masters,0.6666666666666666,4150000.0,150000.0,13
2243,s3_08_old-masters-evening-sale_18,1.778,1.778,5,london,art,old masters,0.6666666666666666,420000.0,300000.0,14
2244,s3_08_old-masters-evening-sale_19,33.73093333333333,3.8946666666666667,2,london,art,old masters,0.6666666666666666,4160000.0,150000.0,11
2245,s3_08_old-masters-evening-sale_20,2.413,2.413,4,london,art,old masters,0.6666666666666666,570000.0,300000.0,22
2246,s3_08_old-masters-evening-sale_3,0.873125,0.8255,2,london,art,old masters,0.75,55000.0,80000.0,5
2247,s3_08_old-masters-evening-sale_4,2.4553333333333334,2.328333333333333,2,london,art,old masters,0.6666666666666666,580000.0,300000.0,19
2248,s3_08_old-masters-evening-sale_6,,,3,london,art,old masters,,170000.0,,2
2249,s3_08_old-masters-evening-sale_7,1.524,1.524,3,london,art,old masters,0.75,240000.0,200000.0,7
2250,s3_08_old-masters-evening-sale_8,0.79375,0.66675,2,london,art,old masters,0.75,500000.0,800000.0,2
2251,s3_09_contemporary-evening-auction?locale=en_13,0.8255,0.762,3,paris,art,impressionist/20th/21st century art,0.7,65000.0,100000.0,4
2252,s3_09_contemporary-evening-auction?locale=en_14,2.2225,2.2225,6,paris,art,impressionist/20th/21st century art,0.7,175000.0,100000.0,18
2253,s3_09_contemporary-evening-auction?locale=en_16,1.6086666666666667,1.6086666666666667,5,paris,art,impressionist/20th/21st century art,0.6666666666666666,760000.0,600000.0,25
2254,s3_09_contemporary-evening-auction?locale=en_19,1.9473333333333334,1.9473333333333334,2,paris,art,impressionist/20th/21st century art,0.6666666666666666,230000.0,150000.0,8
2255,s3_09_contemporary-evening-auction?locale=en_20,0.8255,0.8255,3,paris,art,impressionist/20th/21st century art,0.5,260000.0,400000.0,9
2256,s3_09_contemporary-evening-auction?locale=en_24,1.1006666666666667,1.0583333333333333,3,paris,art,impressionist/20th/21st century art,0.6666666666666666,52000.0,60000.0,8
2257,s3_09_contemporary-evening-auction?locale=en_3,18.4142,3.4925,4,paris,art,impressionist/20th/21st century art,0.75,3004000.0,200000.0,14
2258,s3_09_contemporary-evening-auction?locale=en_30,0.6622142857142858,0.6622142857142858,2,paris,art,impressionist/20th/21st century art,0.7142857142857143,365000.0,700000.0,5
2259,s3_09_contemporary-evening-auction?locale=en_32,,,4,paris,art,impressionist/20th/21st century art,,2207000.0,,18
2260,s3_09_contemporary-evening-auction?locale=en_34,2.4341666666666666,2.4341666666666666,2,paris,art,impressionist/20th/21st century art,0.6666666666666666,230000.0,120000.0,20
2261,s3_09_contemporary-evening-auction?locale=en_35,1.3758333333333332,1.3758333333333332,2,paris,art,impressionist/20th/21st century art,0.6666666666666666,130000.0,120000.0,13
2262,s3_09_contemporary-evening-auction?locale=en_36,1.27,1.2276666666666667,3,paris,art,impressionist/20th/21st century art,0.6666666666666666,30000.0,30000.0,12
2263,s3_09_contemporary-evening-auction?locale=en_39,0.8774545454545455,0.8774545454545455,3,paris,art,impressionist/20th/21st century art,0.6363636363636364,380000.0,550000.0,7
2264,s3_09_contemporary-evening-auction?locale=en_4,3.5064333333333333,1.121,5,paris,art,impressionist/20th/21st century art,0.6666666666666666,4350000.0,1500000.0,10
2265,s3_09_contemporary-evening-auction?locale=en_40,1.0715625,1.0715625,2,paris,art,impressionist/20th/21st century art,0.6875,270000.0,320000.0,9
2266,s3_09_contemporary-evening-auction?locale=en_41,,,2,paris,art,impressionist/20th/21st century art,,160000.0,,2
2267,s3_09_contemporary-evening-auction?locale=en_42,1.6933333333333334,1.6933333333333334,3,paris,art,impressionist/20th/21st century art,0.6666666666666666,160000.0,120000.0,10
2268,s3_09_contemporary-evening-auction?locale=en_44,4.550833333333333,1.3758333333333332,4,paris,art,impressionist/20th/21st century art,0.6666666666666666,430000.0,120000.0,14
2269,s3_09_contemporary-evening-auction?locale=en_47,1.27,1.27,3,paris,art,impressionist/20th/21st century art,0.7222222222222222,180000.0,180000.0,10
2270,s3_09_contemporary-evening-auction?locale=en_6,0.8255,0.8255,3,paris,art,impressionist/20th/21st century art,0.5,260000.0,400000.0,5
2271,s3_09_contemporary-evening-auction?locale=en_85,1.3758333333333332,1.27,2,paris,art,impressionist/20th/21st century art,0.6666666666666666,130000.0,120000.0,4
2272,s3_10_modernites_10,5.437958705882353,0.6796117647058824,2,paris,art,impressionist/20th/21st century art,0.6470588235294118,40001000.0,8500000.0,6
2273,s3_10_modernites_12,1.0243333333333333,1.0243333333333333,3,paris,art,impressionist/20th/21st century art,0.6666666666666666,2500000.0,3000000.0,9
2274,s3_10_modernites_2,2.286,2.286,5,paris,art,impressionist/20th/21st century art,0.75,360000.0,200000.0,4
2275,s3_10_modernites_23,1.2276666666666667,1.2276666666666667,2,paris,art,impressionist/20th/21st century art,0.6666666666666666,290000.0,300000.0,15
2276,s3_10_modernites_24,0.9906,0.9906,6,paris,art,impressionist/20th/21st century art,0.6,390000.0,500000.0,11
2277,s3_10_modernites_25,1.2276666666666667,1.143,3,paris,art,impressionist/20th/21st century art,0.6666666666666666,290000.0,300000.0,3
2278,s3_10_modernites_3,1.2007272727272726,1.1545454545454545,2,paris,art,impressionist/20th/21st century art,0.6363636363636364,520000.0,550000.0,12
2279,s3_10_modernites_31,0.8466666666666667,0.8466666666666667,2,paris,art,impressionist/20th/21st century art,0.6666666666666666,100000.0,150000.0,5
2280,s3_10_modernites_33,1.143,1.143,4,paris,art,impressionist/20th/21st century art,0.6,450000.0,500000.0,11
2281,s3_10_modernites_34,2.8575,0.9525,3,paris,art,impressionist/20th/21st century art,0.75,450000.0,200000.0,6
2282,s3_10_modernites_36,1.222375,1.222375,6,paris,art,impressionist/20th/21st century art,0.75,77000.0,80000.0,10
2283,s3_10_modernites_37,1.1974285714285715,1.161142857142857,3,paris,art,impressionist/20th/21st century art,0.7142857142857143,330000.0,350000.0,8
2284,s3_10_modernites_38,2.6125714285714285,2.576285714285714,20,paris,art,impressionist/20th/21st century art,0.8,720000.0,350000.0,35
2285,s3_10_modernites_39,4.7625,4.550833333333333,5,paris,art,impressionist/20th/21st century art,0.6666666666666666,450000.0,120000.0,16
2286,s3_10_modernites_40,7.262694444444445,0.9677777777777777,4,paris,art,impressionist/20th/21st century art,0.7222222222222222,11150000.0,1800000.0,5
2287,s3_10_modernites_41,1.778,1.778,3,paris,art,impressionist/20th/21st century art,0.75,280000.0,200000.0,14
2288,s3_10_modernites_43,0.8466666666666667,0.8466666666666667,2,paris,art,impressionist/20th/21st century art,0.6666666666666666,400000.0,600000.0,3
2289,s3_10_modernites_44,0.7982857142857143,0.7982857142857143,2,paris,art,impressionist/20th/21st century art,0.7142857142857143,220000.0,350000.0,2
2290,s3_10_modernites_47,1.27,1.2192,3,paris,art,impressionist/20th/21st century art,0.6,50000.0,50000.0,10
2291,s3_10_modernites_54,1.11125,1.11125,3,paris,art,impressionist/20th/21st century art,0.6666666666666666,105000.0,120000.0,6
2292,s3_10_modernites_57,1.55575,1.508125,4,paris,art,impressionist/20th/21st century art,0.75,98000.0,80000.0,13
2293,s3_10_modernites_58,0.5842,0.5842,4,paris,art,impressionist/20th/21st century art,0.6,230000.0,500000.0,4
2294,s3_10_modernites_6,8.365284166666667,1.9558333333333333,4,paris,art,impressionist/20th/21st century art,0.6666666666666666,8509000.0,1200000.0,20
2295,s3_10_modernites_9,1.27,1.27,2,paris,art,impressionist/20th/21st century art,0.7142857142857143,350000.0,350000.0,8
2296,s3_11_modern-evening-auction-3_the-williamson-pink-star_contemporary-evening-auction-2_1011,1.651,1.651,3,hong kong,art,impressionist/20th/21st century art,0.5,1300000.0,1000000.0,12
2297,s3_11_modern-evening-auction-3_the-williamson-pink-star_contemporary-evening-auction-2_1013,1.2192,1.2192,3,hong kong,art,impressionist/20th/21st century art,0.6,2400000.0,2500000.0,7
2298,s3_11_modern-evening-auction-3_the-williamson-pink-star_contemporary-evening-auction-2_1014,0.9236363636363636,0.9236363636363636,5,hong kong,art,impressionist/20th/21st century art,0.6363636363636364,4000000.0,5500000.0,6
2299,s3_11_modern-evening-auction-3_the-williamson-pink-star_contemporary-evening-auction-2_1015,1.3788571428571428,1.27,4,hong kong,art,impressionist/20th/21st century art,0.8,3800000.0,3500000.0,6
2300,s3_11_modern-evening-auction-3_the-williamson-pink-star_contemporary-evening-auction-2_1016,,,2,hong kong,art,impressionist/20th/21st century art,,2400000.0,,2
2301,s3_11_modern-evening-auction-3_the-williamson-pink-star_contemporary-evening-auction-2_1017,1.5786764705882352,1.525294117647059,7,hong kong,art,impressionist/20th/21st century art,0.5588235294117647,8500000.0,6800000.0,11
2302,s3_11_modern-evening-auction-3_the-williamson-pink-star_contemporary-evening-auction-2_1019,1.27,1.27,3,hong kong,art,impressionist/20th/21st century art,0.75,3200000.0,3200000.0,7
2303,s3_11_modern-evening-auction-3_the-williamson-pink-star_contemporary-evening-auction-2_1021,1.524,1.524,13,hong kong,art,impressionist/20th/21st century art,0.5,4800000.0,4000000.0,23
2304,s3_11_modern-evening-auction-3_the-williamson-pink-star_contemporary-evening-auction-2_1022,0.8325555555555556,0.8325555555555556,5,hong kong,art,impressionist/20th/21st century art,0.7777777777777778,5900000.0,9000000.0,6
2305,s3_11_modern-evening-auction-3_the-williamson-pink-star_contemporary-evening-auction-2_1024,5.7735,0.60325,2,hong kong,art,impressionist/20th/21st century art,0.625,37800000.0,8000000.0,2
